model,observed_time_since_infection,model_residual
infant-trained hierarchical model,6,4.32841729314331
infant-trained hierarchical model,16,-9.19507238178109
infant-trained hierarchical model,21,-11.1594828118542
infant-trained hierarchical model,0.93,9.82749384464967
infant-trained hierarchical model,3.93,18.4161524311917
infant-trained hierarchical model,9.93,20.1788354061173
infant-trained hierarchical model,1.51,13.23562563204
infant-trained hierarchical model,4.51,11.3730379976465
infant-trained hierarchical model,12,0.642393777867782
infant-trained hierarchical model,18,-3.56427642253646
infant-trained hierarchical model,3,0.0939495562862124
infant-trained hierarchical model,24,-8.33259635935079
infant-trained hierarchical model,10.54,-9.9048328734745
infant-trained hierarchical model,1.54,0.980692661447721
infant-trained hierarchical model,13.54,-6.49897771822725
infant-trained hierarchical model,9,-0.519491280152412
infant-trained hierarchical model,15,-0.645200176821427
infant-trained hierarchical model,13.06,-9.05314684596175
infant-trained hierarchical model,4.06,5.37537286515321
infant-trained hierarchical model,19.06,-3.43098864112471
infant-trained hierarchical model,1,5.9168855339802
infant-trained hierarchical model,5.94,3.62626779119288
infant-trained hierarchical model,11.94,-0.909010239134721
infant-trained hierarchical model,17.94,-2.90926468997533
infant-trained hierarchical model,4.49,0.128186811029864
infant-trained hierarchical model,1.49,3.10200142544946
infant-trained hierarchical model,1.06,3.436962300663
infant-trained hierarchical model,10.06,0.248385115904265
infant-trained hierarchical model,22.06,0.902458531211209
infant-trained hierarchical model,21.96,-3.65252838790496
infant-trained hierarchical model,6.96,0.598475676763591
infant-trained hierarchical model,12.96,0.930375834732504
infant-trained hierarchical model,13.52,-7.84121273522743
infant-trained hierarchical model,19.52,-14.8588625027607
infant-trained hierarchical model,6.55,-0.0755510185307697
infant-trained hierarchical model,12.55,-1.10523527281598
infant-trained hierarchical model,1.55,16.988515134321
infant-trained hierarchical model,7.06,1.8139534149435
infant-trained hierarchical model,1.06,9.55516511392305
infant-trained linear models,6,3.82929190453102
infant-trained linear models,16,-8.22430839153386
infant-trained linear models,21,-11.9611890714677
infant-trained linear models,0.93,9.24999687255561
infant-trained linear models,3.93,10.9914748651545
infant-trained linear models,9.93,8.99073652542652
infant-trained linear models,1.51,10.1647179341736
infant-trained linear models,4.51,7.73233199112444
infant-trained linear models,12,-1.17963234805801
infant-trained linear models,18,-6.12883410578867
infant-trained linear models,3,3.64274031021031
infant-trained linear models,24,-12.1752882999805
infant-trained linear models,1.54,5.1210694675311
infant-trained linear models,10.54,-3.11730256307041
infant-trained linear models,13.54,-4.83096032138818
infant-trained linear models,9,-0.0694896348164268
infant-trained linear models,15,-3.19873935516414
infant-trained linear models,4.06,3.81852922799593
infant-trained linear models,13.06,-6.73370888740173
infant-trained linear models,19.06,-9.08303562818036
infant-trained linear models,1,7.34774741382932
infant-trained linear models,5.94,2.39907668452272
infant-trained linear models,11.94,-3.1148959100695
infant-trained linear models,17.94,-6.49089414008227
infant-trained linear models,1.49,6.65705111292606
infant-trained linear models,4.49,3.10443809662008
infant-trained linear models,1.06,6.97759008679168
infant-trained linear models,10.06,-0.072410407813825
infant-trained linear models,22.06,-8.22620484359001
infant-trained linear models,6.96,2.18738196765736
infant-trained linear models,12.96,-2.00959225595011
infant-trained linear models,21.96,-6.87071646462151
infant-trained linear models,13.52,-6.31982709011955
infant-trained linear models,19.52,-11.4483707225171
infant-trained linear models,1.55,10.6487130535397
infant-trained linear models,6.55,1.8895607793089
infant-trained linear models,12.55,-1.97657941453744
infant-trained linear models,7.06,1.49454685685147
